wl,hg_1,hg_2,bg_1,bg_2
310.96,0.020953,0.005162,0.010426,0.00582
310.98,0.018322,0.006149,0.006149,0.00582
311,0.017664,0.006149,0.007794,0.004833
311.02,0.009768,0.00582,0.010426,0.003846
311.04,0.007794,0.008781,0.008781,0.005162
311.06,0.008123,0.010426,0.007465,0.006149
311.08,0.008781,0.014374,0.007794,0.00582
311.1,0.011084,0.017664,0.010755,0.005491
311.12,0.011084,0.020624,0.009439,0.005162
311.14,0.011413,0.017664,0.008781,0.004175
311.16,0.007465,0.013387,0.006478,0.001215
311.18,0.007465,0.011413,0.010097,0.003846
311.2,0.008781,0.009439,0.009768,0.003846
311.22,0.00582,0.011084,0.006149,0.000228
311.24,0.008781,0.007794,0.009439,0.004175
311.26,0.009768,0.006807,0.011413,0.002531
311.28,0.010755,0.008123,0.007465,0.002202
311.3,0.008123,0.004833,0.008781,0.004833
311.32,0.006807,0.006807,0.00911,0.004504
311.34,0.009439,0.004833,0.008452,0.00286
311.36,0.010097,0.007794,0.009768,0.005162
311.38,0.008452,0.006478,0.006807,0.00286
311.4,0.008452,0.004504,0.006807,0.005491
311.42,0.007136,0.004175,0.008781,0.004175
311.44,0.011742,0.005491,0.008123,0.00286
311.46,0.017335,0.00911,0.008452,0.004833
311.48,0.025888,0.009768,0.006478,-0.000101
311.5,0.028849,0.007465,0.007465,0.003846
311.52,0.033784,0.008452,0.009768,0.003517
311.54,0.028849,0.006478,0.008781,0.002202
