wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
403.88,0.050233,569.7,0.704843,619.7,0.775744,-0.028393,0.472023,0.99875,-0.022472,-0.024117,,-0.056028
403.9,0.046614,569.75,0.704732,619.75,0.776605,-0.023459,0.470641,1.000053,-0.022801,-0.027736,,-0.048461
403.92,0.049246,569.8,0.703914,619.8,0.77685,-0.028722,0.471994,0.999997,-0.023788,-0.025762,,-0.044842
403.94,0.052206,569.85,0.704585,619.85,0.777976,-0.028722,0.471739,1.000708,-0.024446,-0.027078,,-0.033986
403.96,0.047601,569.9,0.706153,619.9,0.774218,-0.029051,0.472241,1.000019,-0.023459,-0.028393,,-0.046487
403.98,0.044969,569.95,0.703758,619.95,0.774157,-0.027407,0.472805,1.003011,-0.022472,-0.026749,,-0.046816
404,0.04793,570,0.70644,620,0.772894,-0.028393,0.472102,1.000455,-0.020169,-0.029051,,-0.037276
404.02,0.048917,570.05,0.703877,,,-0.027078,0.470883,,-0.020498,-0.025104,,-0.046816
404.04,0.05089,570.1,0.702964,,,-0.02642,0.472668,,-0.021814,-0.021485,,-0.046816
404.06,0.054509,570.15,0.704172,,,-0.028393,0.47247,,-0.025433,-0.027078,,-0.049119
404.08,0.047601,570.2,0.704869,,,-0.028064,0.475215,,-0.01984,-0.021814,,-0.044513
404.1,0.049904,570.25,0.703753,,,-0.031683,0.473839,,-0.022143,-0.029051,,-0.045171
