t_ref,V_ref,t_unf,V_unf
-275.15625,0.363854192,-68.7890625,1.188306984
-275.078125,0.364532475,-68.76953125,1.183559005
-275,0.364871616,-68.75,1.187628702
-274.921875,0.364532475,-68.73046875,1.193054964
-274.84375,0.365549899,-68.7109375,1.182202439
-274.765625,0.366567323,-68.69140625,1.178811025
-274.6875,0.36588904,-68.671875,1.195768096
-274.609375,0.366228182,-68.65234375,1.196107237
-274.53125,0.366567323,-68.6328125,1.192376681
-274.453125,0.366906465,-68.61328125,1.181524156
-274.375,0.366567323,-68.59375,1.183219863
-274.296875,0.367923889,-68.57421875,1.190002692
-274.21875,0.367584747,-68.5546875,1.193394106
-274.140625,0.36826303,-68.53515625,1.189324409
-274.0625,0.368602172,-68.515625,1.188985267
-273.984375,0.369958737,-68.49609375,1.188985267
-273.90625,0.368602172,-68.4765625,1.190002692
-273.828125,0.369958737,-68.45703125,1.193394106
-273.75,0.370297879,-68.4375,1.190680974
-273.671875,0.369958737,-68.41796875,1.193054964
-273.59375,0.370297879,-68.3984375,1.183898146
-273.515625,0.371654444,-68.37890625,1.183898146
-273.4375,0.37063702,-68.359375,1.191359257
-273.359375,0.371315303,-68.33984375,1.19441153
-273.28125,0.371654444,-68.3203125,1.189324409
-273.203125,0.371654444,-68.30078125,1.190341833
-273.125,0.373350152,-68.28125,1.182202439
-273.046875,0.372332727,-68.26171875,1.191020116
-272.96875,0.372671869,-68.2421875,1.194072389
-272.890625,0.372671869,-68.22265625,1.18966355
-272.8125,0.374028434,-68.203125,1.191020116
-272.734375,0.373350152,-68.18359375,1.19203754
-272.65625,0.373689293,-68.1640625,1.18491557
-272.578125,0.374367576,-68.14453125,1.18728956
-272.5,0.374028434,-68.125,1.19441153
-272.421875,0.375385,-68.10546875,1.190341833
-272.34375,0.375045859,-68.0859375,1.186272136
-272.265625,0.375385,-68.06640625,1.186272136
-272.1875,0.376063283,-68.046875,1.188985267
-272.109375,0.375724141,-68.02734375,1.193054964
-272.03125,0.376741566,-68.0078125,1.192715823
-271.953125,0.376402424,-67.98828125,1.191698399
-271.875,0.377419849,-67.96875,1.18491557
-271.796875,0.376741566,-67.94921875,1.184576429
-271.71875,0.377419849,-67.9296875,1.188646126
-271.640625,0.378098131,-67.91015625,1.184237287
-271.5625,0.378098131,-67.890625,1.187628702
-271.484375,0.378776414,-67.87109375,1.185932995
-271.40625,0.378098131,-67.8515625,1.18728956
-271.328125,0.379115556,-67.83203125,1.190341833
-271.25,0.378776414,-67.8125,1.187967843
-271.171875,0.379793839,-67.79296875,1.193054964
-271.09375,0.379793839,-67.7734375,1.191359257
-271.015625,0.38013298,-67.75390625,1.18728956
-270.9375,0.380811263,-67.734375,1.190002692
-270.859375,0.381489546,-67.71484375,1.196107237
-270.78125,0.381489546,-67.6953125,1.191698399
-270.703125,0.380811263,-67.67578125,1.191359257
-270.625,0.382167828,-67.65625,1.19203754
-270.546875,0.383185253,-67.63671875,1.192715823
-270.46875,0.382167828,-67.6171875,1.188985267
-270.390625,0.381828687,-67.59765625,1.194072389
-270.3125,0.382846111,-67.578125,1.191698399
-270.234375,0.383185253,-67.55859375,1.181863297
-270.15625,0.383185253,-67.5390625,1.18966355
-270.078125,0.38488096,-67.51953125,1.187967843
-270,0.383863536,-67.5,1.195428954
-269.921875,0.384541818,-67.48046875,1.193394106
-269.84375,0.383524394,-67.4609375,1.186611277
-269.765625,0.384202677,-67.44140625,1.188306984
-269.6875,0.38488096,-67.421875,1.193394106
-269.609375,0.385220101,-67.40234375,1.186950419
-269.53125,0.386237525,-67.3828125,1.188985267
-269.453125,0.385898384,-67.36328125,1.194750671
-269.375,0.385898384,-67.34375,1.185254712
-269.296875,0.386915808,-67.32421875,1.180845873
-269.21875,0.386576667,-67.3046875,1.198820368
-269.140625,0.38725495,-67.28515625,1.190680974
-269.0625,0.38725495,-67.265625,1.181185015
-268.984375,0.387594091,-67.24609375,1.191698399
-268.90625,0.38725495,-67.2265625,1.191698399
-268.828125,0.388272374,-67.20703125,1.181185015
-268.75,0.388950657,-67.1875,1.186950419
-268.671875,0.388611515,-67.16796875,1.191359257
-268.59375,0.389289798,-67.1484375,1.18966355
-268.515625,0.389289798,-67.12890625,1.19678552
-268.4375,0.389289798,-67.109375,1.192715823
