wl,baseline,buffer,gfp,yfp,lysozyme
479,-0.00278,-0.00024,0.05033,0.08887,0.02349
478.8,-0.00286,-0.0001,0.05019,0.08891,0.02371
478.6,-0.00294,-0.00011,0.05033,0.08875,0.02372
478.4,-0.00296,-0.00012,0.05061,0.08865,0.02361
478.2,-0.003,-6.00E-05,0.05087,0.08857,0.02366
478,-0.00306,-0.00022,0.05085,0.08835,0.02377
477.8,-0.00323,-4.00E-05,0.05105,0.0884,0.02384
477.6,-0.00314,-5.00E-05,0.0512,0.08819,0.02356
477.4,-0.00293,-0.00016,0.05098,0.08782,0.0234
477.2,-0.00313,-0.00015,0.05121,0.08803,0.02361
477,-0.00313,-0.00016,0.05129,0.08802,0.02353
476.8,-0.00289,-0.00017,0.05126,0.08746,0.02341
476.6,-0.00294,-0.00022,0.05123,0.08725,0.02345
476.4,-0.00322,4.00E-05,0.05133,0.08766,0.0236
476.2,-0.00326,0.00014,0.05147,0.08753,0.0238
476,-0.00318,-2.98E-13,0.05158,0.08716,0.02367
475.8,-0.0032,-8.08E-11,0.05157,0.08709,0.02351
475.6,-0.00329,-3.00E-05,0.05145,0.08699,0.02364
475.4,-0.00332,-0.00027,0.05151,0.08679,0.02369
475.2,-0.00322,-0.00021,0.05132,0.08638,0.02356
475,-0.0032,-5.00E-05,0.05141,0.08631,0.02351
474.8,-0.00309,-0.00031,0.05142,0.08601,0.02335
474.6,-0.00312,-0.00028,0.05141,0.08582,0.02313
474.4,-0.00332,4.00E-05,0.05153,0.086,0.02347
474.2,-0.00339,-5.00E-05,0.05144,0.08591,0.02358
474,-0.00337,-5.00E-05,0.05143,0.08553,0.02326
473.8,-0.00332,-0.00017,0.05145,0.08537,0.02329
473.6,-0.00336,-0.00028,0.05138,0.08527,0.02342
473.4,-0.00344,-0.00026,0.05152,0.08508,0.0235
473.2,-0.0035,-8.00E-05,0.05166,0.08496,0.02345
473,-0.00343,-8.00E-05,0.05152,0.08472,0.02331
472.8,-0.00327,-0.0003,0.05154,0.08453,0.02311
472.6,-0.00333,-0.00017,0.05138,0.08457,0.02325
472.4,-0.00343,-0.00015,0.05136,0.08439,0.02349
472.2,-0.00355,-9.00E-05,0.0515,0.08415,0.02347
472,-0.00361,-2.00E-05,0.05136,0.08414,0.02358
471.8,-0.00361,-1.00E-05,0.05133,0.0841,0.02354
471.6,-0.00356,-3.00E-05,0.05128,0.08392,0.02346
